provID;provinsi
prov_1;Aceh
prov_2;Sumatera Utara
prov_3;Sumatera Barat
prov_4;Riau
prov_5;Jambi
prov_6;Sumatera Selatan
prov_7;Bengkulu
prov_8;Lampung
prov_9;Kep. Bangka Belitung
prov_10;Kep. Riau
prov_11;DKI Jakarta
prov_12;Jawa Barat
prov_13;Jawa Tengah
prov_14;DI Yogyakarta
prov_15;Jawa Timur
prov_16;Banten
prov_17;Bali
prov_18;Nusa Tenggara Barat
prov_19;Nusa Tenggara Timur
prov_20;Kalimantan Barat
prov_21;Kalimantan Tengah
prov_22;Kalimantan Selatan
prov_23;Kalimantan Timur
prov_24;Kalimantan Utara
prov_25;Sulawesi Utara
prov_26;Sulawesi Tengah
prov_27;Sulawesi Selatan
prov_28;Sulawesi Tenggara
prov_29;Gorontalo
prov_30;Sulawesi Barat
prov_31;Maluku
prov_32;Maluku Utara
prov_33;Papua Barat
prov_34;Papua
prov_35;Indonesia
