ProvID;Tipe_Daerah_ID;rata2_jangka_waktu_kpr
prov_1;td_1;13,93
prov_1;td_2;14,78
prov_1;td_3;14,12
prov_2;td_1;14,16
prov_2;td_2;8,98
prov_2;td_3;13,83
prov_3;td_1;13,56
prov_3;td_2;14,24
prov_3;td_3;13,64
prov_4;td_1;11,97
prov_4;td_2;13,45
prov_4;td_3;12,06
prov_5;td_1;12,72
prov_5;td_2;13,41
prov_5;td_3;12,82
prov_6;td_1;12,71
prov_6;td_2;12,37
prov_6;td_3;12,61
prov_7;td_1;12,38
prov_7;td_2;15,00
prov_7;td_3;12,60
prov_8;td_1;13,80
prov_8;td_2;0
prov_8;td_3;13,80
prov_9;td_1;11,98
prov_9;td_2;0
prov_9;td_3;11,98
prov_10;td_1;10,66
prov_10;td_2;0
prov_10;td_3;10,66
prov_11;td_1;10,64
prov_11;td_2;0
prov_11;td_3;10,64
prov_12;td_1;12,81
prov_12;td_2;13,99
prov_12;td_3;12,84
prov_13;td_1;12,57
prov_13;td_2;12,03
prov_13;td_3;12,54
prov_14;td_1;9,19
prov_14;td_2;0
prov_14;td_3;9,19
prov_15;td_1;12,13
prov_15;td_2;10,03
prov_15;td_3;11,85
prov_16;td_1;13,64
prov_16;td_2;14,59
prov_16;td_3;13,69
prov_17;td_1;10,59
prov_17;td_2;6,85
prov_17;td_3;10,15
prov_18;td_1;10,00
prov_18;td_2;0
prov_18;td_3;10,00
prov_19;td_1;15,00
prov_19;td_2;20,00
prov_19;td_3;19,91
prov_20;td_1;12,02
prov_20;td_2;13,13
prov_20;td_3;12,23
prov_21;td_1;11,74
prov_21;td_2;15,00
prov_21;td_3;12,90
prov_22;td_1;12,34
prov_22;td_2;11,69
prov_22;td_3;12,29
prov_23;td_1;13,82
prov_23;td_2;15,00
prov_23;td_3;13,88
prov_24;td_1;10,00
prov_24;td_2;0
prov_24;td_3;10,00
prov_25;td_1;14,02
prov_25;td_2;3,00
prov_25;td_3;13,98
prov_26;td_1;13,92
prov_26;td_2;0
prov_26;td_3;13,92
prov_27;td_1;13,04
prov_27;td_2;10,21
prov_27;td_3;12,79
prov_28;td_1;11,95
prov_28;td_2;13,75
prov_28;td_3;12,34
prov_29;td_1;10,00
prov_29;td_2;14,04
prov_29;td_3;12,68
prov_30;td_1;15,29
prov_30;td_2;0
prov_30;td_3;15,29
prov_31;td_1;13,87
prov_31;td_2;0
prov_31;td_3;13,87
prov_32;td_1;0
prov_32;td_2;0
prov_32;td_3;0
prov_33;td_1;10,00
prov_33;td_2;0
prov_33;td_3;10,00
prov_34;td_1;14,52
prov_34;td_2;0
prov_34;td_3;14,52
prov_35;td_1;12,68
prov_35;td_2;12,54
prov_35;td_3;12,67
