ProvID;Tipe_Daerah_ID;Membeli dari Pengembang;Membeli dari Bukan Pengembang;Membangun Sendiri;"Lainnya (Warisan, Hibah, dll.)"
prov_1;td_1;"2,86";"5,17";"75,82";"16,15"
prov_1;td_2;"1,88";"2,3";"79,37";"16,45"
prov_1;td_3;"2,14";"3,07";"78,42";"16,37"
prov_2;td_1;"4,04";"8,11";"81,03";"6,81"
prov_2;td_2;"1,15";"4,68";"86,28";"7,89"
prov_2;td_3;"2,52";"6,3";"83,79";"7,38"
prov_3;td_1;"12,28";"7,78";"76,6";"3,33"
prov_3;td_2;"1,47";"0,98";"93,51";"4,04"
prov_3;td_3;"5,61";"3,58";"87,04";"3,77"
prov_4;td_1;"10,61";"9,6";"73,88";"5,9"
prov_4;td_2;"1,5";"4,9";"89,52";"4,08"
prov_4;td_3;"4,35";"6,38";"84,62";"4,65"
prov_5;td_1;"11,63";"9,48";"69,51";"9,38"
prov_5;td_2;"1,71";"3,15";"90,26";"4,88"
prov_5;td_3;"4,42";"4,87";"84,6";"6,11"
prov_6;td_1;"10,41";"16,54";"67,22";"5,83"
prov_6;td_2;"2,31";"6,41";"86,62";"4,66"
prov_6;td_3;"4,65";"9,34";"81,01";5
prov_7;td_1;"11,31";"13,29";"68,53";"6,87"
prov_7;td_2;"0,77";"3,9";"88,93";"6,39"
prov_7;td_3;"3,44";"6,27";"83,78";"6,51"
prov_8;td_1;"4,33";"11,53";"78,56";"5,58"
prov_8;td_2;"0,85";"5,51";"88,58";"5,07"
prov_8;td_3;"1,8";"7,14";"85,85";"5,21"
prov_9;td_1;"0,61";"8,13";"84,17";"7,09"
prov_9;td_2;"0,42";"6,73";"90,99";"1,86"
prov_9;td_3;"0,52";"7,47";"87,37";"4,63"
prov_10;td_1;"27,29";"14,44";"55,6";"2,68"
prov_10;td_2;"1,1";"4,63";"79,55";"14,72"
prov_10;td_3;"23,61";"13,06";"58,96";"4,37"
prov_11;td_1;"7,48";"18,21";"52,09";"22,22"
prov_11;td_2;0;0;0;0
prov_11;td_3;"7,48";"18,21";"52,09";"22,22"
prov_12;td_1;"10,73";"10,91";"68,46";"9,9"
prov_12;td_2;"1,34";"4,3";"89,1";"5,26"
prov_12;td_3;"7,98";"8,97";"74,51";"8,54"
prov_13;td_1;"4,96";"5,74";"75,33";"13,96"
prov_13;td_2;"0,83";"2,15";"84,3";"12,72"
prov_13;td_3;"2,8";"3,87";"80,02";"13,31"
prov_14;td_1;"7,64";"5,45";"70,31";"16,6"
prov_14;td_2;"1,14";"1,44";"80,92";"16,49"
prov_14;td_3;"5,55";"4,16";"73,72";"16,57"
prov_15;td_1;"5,59";"9,85";"72,66";"11,9"
prov_15;td_2;"1,17";"1,54";"86,78";"10,52"
prov_15;td_3;"3,34";"5,61";"79,86";"11,2"
prov_16;td_1;"15,43";"8,62";"67,71";"8,24"
prov_16;td_2;"3,26";"0,88";"93,59";"2,26"
prov_16;td_3;"11,41";"6,06";"76,26";"6,26"
prov_17;td_1;"6,87";"3,03";"83,67";"6,44"
prov_17;td_2;"1,56";"0,87";"90,5";"7,07"
prov_17;td_3;"4,85";"2,21";"86,26";"6,68"
prov_18;td_1;"2,84";"7,11";"76,71";"13,34"
prov_18;td_2;"0,26";"6,15";"86,63";"6,97"
prov_18;td_3;"1,4";"6,57";"82,25";"9,78"
prov_19;td_1;"0,99";"3,02";"88,55";"7,44"
prov_19;td_2;"0,7";"0,06";"94,48";"4,76"
prov_19;td_3;"0,76";"0,61";"93,38";"5,26"
prov_20;td_1;"10,9";"12,73";"73,12";"3,25"
prov_20;td_2;"1,27";"2,46";"93,14";"3,13"
prov_20;td_3;"4,1";"5,48";"87,26";"3,17"
prov_21;td_1;"5,87";"11,89";"78,01";"4,23"
prov_21;td_2;"2,12";"5,57";"89,49";"2,82"
prov_21;td_3;"3,41";"7,75";"85,54";"3,31"
prov_22;td_1;"10,8";"16,37";"65,01";"7,82"
prov_22;td_2;"1,07";"3,2";"92,1";"3,63"
