ProvID;Tipe_Daerah_ID;rata_rata_biaya_angsuran_KPR
prov_1;td_1;934.931,95
prov_1;td_2;772.162,92
prov_1;td_3;853.775,40
prov_2;td_1;2.043.566,51
prov_2;td_2;850.000,00
prov_2;td_3;2.021.410,32
prov_3;td_1;739.290,23
prov_3;td_2;1.008.105,83
prov_3;td_3;790.714,57
prov_4;td_1;2.591.567,56
prov_4;td_2;652.405,94
prov_4;td_3;2.356.089,05
prov_5;td_1;1.888.042,35
prov_5;td_2;0
prov_5;td_3;1.888.042,35
prov_6;td_1;1.925.220,23
prov_6;td_2;936.521,74
prov_6;td_3;1.209.343,76
prov_7;td_1;1.700.000,00
prov_7;td_2;591.552,39
prov_7;td_3;1.339.079,18
prov_8;td_1;2.253.235,06
prov_8;td_2;0
prov_8;td_3;2.253.235,06
prov_9;td_1;1.030.000,00
prov_9;td_2;0
prov_9;td_3;1.030.000,00
prov_10;td_1;3.055.107,18
prov_10;td_2;0
prov_10;td_3;3.055.107,18
prov_11;td_1;6.000.000,00
prov_11;td_2;0
prov_11;td_3;6.000.000,00
prov_12;td_1;1.862.161,46
prov_12;td_2;881.319,39
prov_12;td_3;1.773.847,40
prov_13;td_1;2.055.833,97
prov_13;td_2;1.022.359,91
prov_13;td_3;1.831.254,03
prov_14;td_1;5.601.834,86
prov_14;td_2;0
prov_14;td_3;5.601.834,86
prov_15;td_1;2.275.019,55
prov_15;td_2;1.000.000,00
prov_15;td_3;2.255.267,23
prov_16;td_1;952.380,88
prov_16;td_2;741.478,89
prov_16;td_3;927.248,55
prov_17;td_1;4.310.025,27
prov_17;td_2;2.700.000,00
prov_17;td_3;3.705.842,11
prov_18;td_1;0
prov_18;td_2;0
prov_18;td_3;0
prov_19;td_1;1.200.000,00
prov_19;td_2;1.376.910,30
prov_19;td_3;1.373.735,73
prov_20;td_1;4.009.932,55
prov_20;td_2;1.204.424,78
prov_20;td_3;3.096.600,45
prov_21;td_1;1.221.527,03
prov_21;td_2;898.306,56
prov_21;td_3;1.051.065,60
prov_22;td_1;1.218.978,60
prov_22;td_2;2.445.338,53
prov_22;td_3;1.370.361,85
prov_23;td_1;1.579.486,80
prov_23;td_2;931.000,00
prov_23;td_3;1.512.842,42
prov_24;td_1;3.500.000,00
prov_24;td_2;0
prov_24;td_3;3.500.000,00
prov_25;td_1;683.905,33
prov_25;td_2;0
prov_25;td_3;683.905,33
prov_26;td_1;744.959,04
prov_26;td_2;0
prov_26;td_3;744.959,04
prov_27;td_1;958.160,46
prov_27;td_2;954.602,97
prov_27;td_3;957.722,67
prov_28;td_1;1.244.989,34
prov_28;td_2;978.651,28
prov_28;td_3;1.132.973,17
prov_29;td_1;1.200.000,00
prov_29;td_2;795.836,72
prov_29;td_3;931.781,40
prov_30;td_1;699.019,90
prov_30;td_2;0
prov_30;td_3;699.019,90
prov_31;td_1;0
prov_31;td_2;0
prov_31;td_3;0
prov_32;td_1;0
prov_32;td_2;0
prov_32;td_3;0
prov_33;td_1;2.500.000,00
prov_33;td_2;0
prov_33;td_3;2.500.000,00
prov_34;td_1;2.012.912,23
prov_34;td_2;0
prov_34;td_3;2.012.912,23
prov_35;td_1;1.827.053,32
prov_35;td_2;1.013.902,57
prov_35;td_3;1.716.271,30
